gamma,case,horizon,empirical_epsilon,true_value,model_value,absolute_value_gap,finite_horizon_local_envelope,gap_to_envelope_ratio,reward_lipschitz,empirical_dynamics_lipschitz
0.8,0,40,0.10503811783510623,-1.7035017864268185,-1.6986621786763152,0.004839607750503294,6.05918533076384,0.0007987225157038063,3.3579468727111816,0.9591749056113689
0.9,0,40,0.10503811783510623,-3.321384177923977,-3.3230331251440632,0.0016489472200862387,22.113778415550097,7.456650731955975e-05,3.3579468727111816,0.9591749056113689
0.95,0,40,0.10503811783510623,-5.5721617657125515,-5.637079524510781,0.06491775879822992,55.63618162003081,0.0011668262793731595,3.3579468727111816,0.9591749056113689
0.97,0,40,0.10503811783510623,-7.231761653175869,-7.376223744745913,0.14446209157004475,85.62277454121022,0.001687192366097821,3.3579468727111816,0.9591749056113689
0.98,0,40,0.10503811783510623,-8.351327192105419,-8.56127848988961,0.20995129778419042,107.58615298838498,0.0019514713738937835,3.3579468727111816,0.9591749056113689
0.99,0,40,0.10503811783510623,-9.737065483848177,-10.038697337076012,0.3016318532278355,136.27081276871976,0.002213473649267567,3.3579468727111816,0.9591749056113689
0.8,1,40,0.004961771521992931,-0.07534677814803667,-0.07078076578255023,0.004566012365486441,0.08444961611635511,0.054067887759197936,0.9362371446016604,0.9752308224390694
0.9,1,40,0.004961771521992931,-0.14403297476160318,-0.12854495084992199,0.015488023911681192,0.3224649840002658,0.04803009529762905,0.9362371446016604,0.9752308224390694
0.95,1,40,0.004961771521992931,-0.25462991950829517,-0.21497129172393598,0.03965862778435919,0.8385003832665859,0.047297089632635805,0.9362371446016604,0.9752308224390694
0.97,1,40,0.004961771521992931,-0.3456766438537316,-0.28342790444212557,0.062248739411606024,1.3079096943232746,0.047594065310307326,0.9362371446016604,0.9752308224390694
0.98,1,40,0.004961771521992931,-0.4105511832602034,-0.33140776305005126,0.07914342021015214,1.654106432636952,0.04784663105625124,0.9362371446016604,0.9752308224390694
0.99,1,40,0.004961771521992931,-0.4939672696758818,-0.3924439854873614,0.10152328418852036,2.108256150539997,0.048155099257040826,0.9362371446016604,0.9752308224390694
0.8,2,40,0.008403829824043179,-0.17453563149499393,-0.16381110795311707,0.010724523541876863,0.13819958442990263,0.07760170615647935,0.867967342152708,0.9864043090288902
0.9,2,40,0.008403829824043179,-0.2993175025647663,-0.2661654045345535,0.033152098030212795,0.546475188153834,0.06066533073937184,0.867967342152708,0.9864043090288902
0.95,2,40,0.008403829824043179,-0.45522113330785724,-0.3823792470073252,0.07284188630053207,1.4576410309310215,0.04997244503607767,0.867967342152708,0.9864043090288902
0.97,2,40,0.008403829824043179,-0.5643411692930501,-0.45875916877297523,0.10558200052007488,2.297174396060076,0.04596168262242537,0.867967342152708,0.9864043090288902
0.98,2,40,0.008403829824043179,-0.636314383419096,-0.5075703289634206,0.12874405445567538,2.9196205616168287,0.04409615966822053,0.867967342152708,0.9864043090288902
0.99,2,40,0.008403829824043179,-0.7240817758812114,-0.5657663651050732,0.1583154107761382,3.7389338022536216,0.04234239469035651,0.867967342152708,0.9864043090288902
0.8,3,40,0.004661357162491197,-0.04431082231420477,-0.042314727406821004,0.001996094907383769,0.038162008387699176,0.052305813863485595,0.47024916272902545,0.9630426198405783
0.9,3,40,0.004661357162491197,-0.07818924229583718,-0.07198948164526124,0.006199760650575939,0.14073144371196217,0.04405384103971186,0.47024916272902545,0.9630426198405783
0.95,3,40,0.004661357162491197,-0.12758167299782253,-0.11365518247725453,0.013926490520567991,0.35675831693785326,0.039036204229525966,0.47024916272902545,0.9630426198405783
0.97,3,40,0.004661357162491197,-0.16612808858438097,-0.14563899734491642,0.020489091239464546,0.5507463354080977,0.037202410478650444,0.47024916272902545,0.9630426198405783
0.98,3,40,0.004661357162491197,-0.1929387381125952,-0.1677361745747037,0.02520256353789152,0.6930568089504305,0.036364354570094244,0.47024916272902545,0.9630426198405783
0.99,3,40,0.004661357162491197,-0.2268547181326134,-0.19556895366278773,0.03128576446982567,0.8791070350791649,0.03558811751177528,0.47024916272902545,0.9630426198405783
0.8,4,40,0.06598694834428573,-0.36449252125034387,-0.3613486539175038,0.0031438673328400557,2.893918336242651,0.0010863704388154674,2.3082995414733887,0.9871412896035752
0.9,4,40,0.06598694834428573,-0.6456388870608042,-0.6456766151087956,3.772804799140328e-05,11.470924171304658,3.2890155516660728e-06,2.3082995414733887,0.9871412896035752
0.95,4,40,0.06598694834428573,-1.01637038812323,-1.0408471016972773,0.02447671357404735,30.650719297440535,0.0007985689776647838,2.3082995414733887,0.9871412896035752
