epsilon,gamma,case,horizon,true_value,model_value,absolute_value_gap,finite_horizon_bound,gap_to_bound_ratio,reward_lipschitz,empirical_dynamics_lipschitz,max_rollout_state_error
0.0005,0.8,0,40,-0.21231116990201349,-0.20984108462036277,0.0024700852816507135,0.00919967495950769,0.2684970167449152,0.9125080535130603,1.0024056115455204,0.019531118582978412
0.0005,0.9,0,40,-0.4085865844526507,-0.3992009176664711,0.009385666786179636,0.03846059033822168,0.2440333521571631,0.9125080535130603,1.0024056115455204,0.019531118582978412
0.0005,0.95,0,40,-0.6870978494771773,-0.6631453591777758,0.023952490299401497,0.10680072376144832,0.22427273388991384,0.9125080535130603,1.0024056115455204,0.019531118582978412
0.0005,0.97,0,40,-0.8957426218950294,-0.858768159657892,0.03697446223713741,0.1710352501554025,0.21618036167130716,0.9125080535130603,1.0024056115455204,0.019531118582978412
0.0005,0.98,0,40,-1.0376149246436042,-0.991113779314285,0.04650114532931915,0.21905111281761325,0.21228445147428682,0.9125080535130603,1.0024056115455204,0.019531118582978412
0.0005,0.99,0,40,-1.2141879788446195,-1.1552577222891764,0.05893025655544304,0.28258596312984335,0.2085392207834669,0.9125080535130603,1.0024056115455204,0.019531118582978412
0.0005,0.8,1,40,-0.2078806364165956,-0.21068648376194463,0.0028058473453490274,0.007887724204906977,0.35572330782096834,0.8038488549966465,0.9955663756982278,0.01797281264842994
0.0005,0.9,1,40,-0.40439094549719173,-0.4157479144404611,0.011356968943269374,0.03217279571529109,0.3529991314330086,0.8038488549966465,0.9955663756982278,0.01797281264842994
0.0005,0.95,1,40,-0.7000215424708716,-0.7308589242036693,0.03083738173279771,0.08776807528236147,0.35135078026480343,0.8038488549966465,0.9955663756982278,0.01797281264842994
0.0005,0.97,1,40,-0.931728553281784,-0.9807029083653322,0.04897435508354819,0.13956920230987946,0.3508965751255965,0.8038488549966465,0.9955663756982278,0.01797281264842994
0.0005,0.98,1,40,-1.0930205935805768,-1.1555052153294292,0.06248462174885239,0.17815261737473506,0.35073647903482175,0.8038488549966465,0.9955663756982278,0.01797281264842994
0.0005,0.99,1,40,-1.2971632799208983,-1.3774874953353669,0.08032421541446855,0.2290893272335318,0.3506239962570875,0.8038488549966465,0.9955663756982278,0.01797281264842994
0.0005,0.8,2,40,-0.1926548079577949,-0.1945282141997115,0.001873406241916592,0.008541086136372346,0.21934051618314243,0.8842779404665237,0.9914964427950954,0.0160685605120985
0.0005,0.9,2,40,-0.32594342747374316,-0.332402024185394,0.0064585967116508325,0.03435150194104152,0.18801497304938541,0.8842779404665237,0.9914964427950954,0.0160685605120985
0.0005,0.95,2,40,-0.4954379637483884,-0.5111262396013577,0.015688275852969336,0.09276318447030024,0.16912179053094292,0.8842779404665237,0.9914964427950954,0.0160685605120985
0.0005,0.97,2,40,-0.6167229596310776,-0.6405440483115569,0.023821088680479274,0.1469146234239941,0.16214239348884865,0.8842779404665237,0.9914964427950954,0.0160685605120985
0.0005,0.98,2,40,-0.6977684219981136,-0.7275093509298973,0.029740928931783706,0.1871651492103713,0.158902066208679,0.8842779404665237,0.9914964427950954,0.0160685605120985
0.0005,0.99,2,40,-0.7975714039984719,-0.8350123821321898,0.03744097813371783,0.2402321267576177,0.15585333501831716,0.8842779404665237,0.9914964427950954,0.0160685605120985
0.0005,0.8,3,40,-0.0368406203086425,-0.03748055963663622,0.0006399393279937216,0.004757240816066711,0.13451901064845057,0.48345387255690364,0.9962860127803601,0.01814681919859728
0.0005,0.9,3,40,-0.06448645270746081,-0.06730083293765932,0.0028143802301985044,0.019453241480291584,0.14467410138561235,0.48345387255690364,0.9962860127803601,0.01814681919859728
0.0005,0.95,3,40,-0.10333928539466948,-0.11148410248965164,0.00814481709498216,0.0531660155423648,0.15319592811110783,0.48345387255690364,0.9962860127803601,0.01814681919859728
